"","sample","similiraty"
"H368","H178","0.5807"
"H368","H177","0.6099"
"H368","H176","0.6022"
"H368","H175","0.604"
"H368","H174","0.612"
"H368","H173","0.5536"
"H368","H172","0.5468"
"H368","H171","0.5499"
"H368","H170","0.5894"
"H368","H17","0.6078"
"H368","H169","0.6168"
"H368","H168","0.5427"
"H368","H167","0.5458"
"H368","H166","0.5773"
"H368","H165","0.6088"
"H368","H164","0.6207"
"H368","H163","0.5798"
"H368","H162","0.5872"
"H368","H161","0.5883"
"H368","H160","0.6213"
"H368","H16","0.6531"
"H368","H159","0.6192"
"H368","H158","0.6234"
"H368","H157","0.6107"
"H368","H156","0.5418"
"H368","H155","0.5624"
"H368","H154","0.565"
"H368","H153","0.6366"
"H368","H152","0.6418"
"H368","H151","0.6386"
"H368","H150","0.6361"
"H368","H15","0.6203"
"H368","H149","0.6371"
"H368","H148","0.634"
"H368","H147","0.6406"
"H368","H146","0.4999"
"H368","H145","0.5564"
"H368","H144","0.5453"
"H368","H143","0.5994"
"H368","H142","0.6699"
"H368","H141","0.6066"
"H368","H140","0.6069"
"H368","H139","0.5711"
"H368","H138","0.599"
"H368","H136","0.5912"
"H368","H135","0.5661"
"H368","H134","0.5685"
"H368","H133","0.5514"
"H368","H132","0.4932"
"H368","H131","0.5893"
"H368","H130","0.6173"
"H368","H13","0.6522"
"H368","H129","0.6568"
"H368","H128","0.6348"
"H368","H127","0.6146"
"H368","H126","0.6567"
"H368","H125","0.5968"
"H368","H124","0.6058"
"H368","H123","0.6015"
"H368","H122","0.6059"
"H368","H121","0.595"
"H368","H120","0.6558"
"H368","H12","0.6336"
"H368","H119","0.6563"
"H368","H118","0.6557"
"H368","H117","0.6561"
"H368","H116","0.6561"
"H368","H115","0.6558"
"H368","H114","0.6562"
"H368","H113","0.656"
"H368","H112","0.656"
"H368","H111","0.656"
"H368","H110","0.6564"
"H368","H11","0.6367"
"H368","H109","0.656"
"H368","H108","0.6629"
"H368","H107","0.6633"
"H368","H106","0.6629"
"H368","H105","0.6661"
"H368","H104","0.6617"
"H368","H103","0.6346"
"H368","H102","0.6929"
"H368","H101","0.6392"
"H368","H100","0.6115"
"H368","H10","0.6217"
"H368","H1","0.6477"
"H367","H368","0.6569"
"H367","H367","1"
"H367","H366","0.4568"
"H367","H365","0.6661"
"H367","H364","0.5728"
"H367","H363","0.6473"
"H367","H362","0.6782"
"H367","H361","0.6799"
"H367","H99","0.6794"
"H367","H98","0.6159"
"H367","H97","0.6219"
"H367","H96","0.5825"
"H367","H95","0.5865"
"H367","H94","0.583"
"H367","H93","0.6021"
"H367","H92","0.5998"
"H367","H91","0.6932"
"H367","H90","0.6472"
"H367","H9","0.7234"
"H367","H89","0.6262"
"H367","H88","0.6668"
"H367","H87","0.6532"
"H367","H86","0.6254"
"H367","H85","0.6389"
"H367","H84","0.6266"
"H367","H83","0.6524"
"H367","H82","0.6729"
"H367","H81","0.6733"
"H367","H8","0.7391"
"H367","H79","0.6994"
"H367","H78","0.7675"
"H367","H77","0.6397"
"H367","H76","0.6401"
"H367","H75","0.5872"
"H367","H74","0.6706"
"H367","H73","0.6694"
"H367","H72","0.6397"
"H367","H71","0.6483"
"H367","H70","0.6507"
"H367","H7","0.7391"
"H367","H69","0.644"
"H367","H68","0.6535"
"H367","H67","0.6556"
"H367","H66","0.5988"
"H367","H65","0.6225"
"H367","H64","0.6061"
"H367","H63","0.5758"
"H367","H62","0.5656"
"H367","H61","0.5578"
"H367","H60","0.6693"
"H367","H6","0.7282"
"H367","H59","0.6035"
"H367","H58","0.6647"
"H367","H57","0.6834"
"H367","H56","0.7347"
"H367","H55","0.7454"
"H367","H54","0.7427"
"H367","H53","0.6631"
"H367","H52","0.6124"
"H367","H51","0.5745"
"H367","H50","0.6184"
"H367","H5","0.7313"
"H367","H49","0.6118"
"H367","H48","0.6038"
"H367","H47","0.6366"
"H367","H46","0.6627"
"H367","H45","0.6454"
"H367","H44","0.6411"
"H367","H43","0.6663"
"H367","H42","0.5934"
"H367","H41","0.7198"
"H367","H40","0.6593"
"H367","H4","0.728"
"H367","H39","0.6695"
"H367","H38","0.6338"
"H367","H37","0.7458"
"H367","H36","0.64"
"H367","H35","0.6431"
"H367","H34","0.6708"
"H367","H335","0.6184"
"H367","H334","0.5521"
"H367","H333","0.4787"
"H367","H332","0.5206"
"H367","H331","0.56"
"H367","H330","0.5565"
"H367","H33","0.6135"
"H367","H329","0.5251"
"H367","H328","0.5402"
"H367","H327","0.5278"
"H367","H326","0.5326"
