"","sample","similiraty"
"H83","H230","0.5702"
"H83","H23","0.6527"
"H83","H229","0.5701"
"H83","H228","0.5439"
"H83","H227","0.5149"
"H83","H226","0.4981"
"H83","H225","0.6205"
"H83","H224","0.6484"
"H83","H223","0.8354"
"H83","H222","0.8351"
"H83","H221","0.8328"
"H83","H220","0.6243"
"H83","H219","0.5432"
"H83","H218","0.5765"
"H83","H217","0.5495"
"H83","H216","0.5504"
"H83","H215","0.5681"
"H83","H214","0.5512"
"H83","H213","0.5549"
"H83","H212","0.5652"
"H83","H211","0.6264"
"H83","H210","0.5867"
"H83","H21","0.6183"
"H83","H209","0.5622"
"H83","H208","0.6177"
"H83","H207","0.559"
"H83","H206","0.5146"
"H83","H205","0.5433"
"H83","H204","0.5504"
"H83","H203","0.5994"
"H83","H202","0.5937"
"H83","H201","0.6047"
"H83","H200","0.5575"
"H83","H20","0.6342"
"H83","H2","0.6986"
"H83","H199","0.5678"
"H83","H198","0.5603"
"H83","H197","0.5708"
"H83","H196","0.6263"
"H83","H195","0.5615"
"H83","H194","0.5476"
"H83","H193","0.5632"
"H83","H192","0.5397"
"H83","H191","0.5432"
"H83","H190","0.5648"
"H83","H19","0.6352"
"H83","H189","0.6178"
"H83","H188","0.5368"
"H83","H187","0.5416"
"H83","H186","0.5378"
"H83","H185","0.56"
"H83","H184","0.5668"
"H83","H183","0.5583"
"H83","H182","0.557"
"H83","H181","0.5906"
"H83","H180","0.6511"
"H83","H18","0.6301"
"H83","H179","0.6491"
"H83","H178","0.5898"
"H83","H177","0.5662"
"H83","H176","0.5545"
"H83","H175","0.5543"
"H83","H174","0.5898"
"H83","H173","0.5508"
"H83","H172","0.5419"
"H83","H171","0.5166"
"H83","H170","0.5595"
"H83","H17","0.6404"
"H83","H169","0.6287"
"H83","H168","0.5902"
"H83","H167","0.5948"
"H83","H166","0.5514"
"H83","H165","0.5657"
"H83","H164","0.5666"
"H83","H163","0.5435"
"H83","H162","0.5516"
"H83","H161","0.552"
"H83","H160","0.5712"
"H83","H16","0.6696"
"H83","H159","0.5662"
"H83","H158","0.5713"
"H83","H157","0.603"
"H83","H156","0.5687"
"H83","H155","0.5907"
"H83","H154","0.5577"
"H83","H153","0.6663"
"H83","H152","0.6734"
"H83","H151","0.6656"
"H83","H150","0.6641"
"H83","H15","0.6541"
"H83","H149","0.6663"
"H83","H148","0.662"
"H83","H147","0.665"
"H83","H146","0.5326"
"H83","H145","0.5697"
"H83","H144","0.5519"
"H83","H143","0.6254"
"H83","H142","0.6564"
"H83","H141","0.6387"
"H83","H140","0.6189"
"H83","H139","0.5962"
"H83","H138","0.6123"
"H83","H136","0.6172"
"H83","H135","0.5863"
"H83","H134","0.5651"
"H83","H133","0.5422"
"H83","H132","0.5165"
"H83","H131","0.5851"
"H83","H130","0.6365"
"H83","H13","0.6534"
"H83","H129","0.6634"
"H83","H128","0.666"
"H83","H127","0.6237"
"H83","H126","0.6424"
"H83","H125","0.6274"
"H83","H124","0.6407"
"H83","H123","0.6417"
"H83","H122","0.6196"
"H83","H121","0.6078"
"H83","H120","0.6806"
"H83","H12","0.6764"
"H83","H119","0.6806"
"H83","H118","0.6805"
"H83","H117","0.6809"
"H83","H116","0.6809"
"H83","H115","0.6811"
"H83","H114","0.681"
"H83","H113","0.6808"
"H83","H112","0.6808"
"H83","H111","0.6808"
"H83","H110","0.6807"
"H83","H11","0.675"
"H83","H109","0.6809"
"H83","H108","0.6885"
"H83","H107","0.6892"
"H83","H106","0.6888"
"H83","H105","0.6941"
"H83","H104","0.6943"
"H83","H103","0.651"
"H83","H102","0.6869"
"H83","H101","0.6144"
"H83","H100","0.615"
"H83","H10","0.6568"
"H83","H1","0.6966"
"H82","H368","0.6114"
"H82","H367","0.6729"
"H82","H366","0.4703"
"H82","H365","0.6198"
"H82","H364","0.5686"
"H82","H363","0.636"
"H82","H362","0.6244"
"H82","H361","0.6249"
"H82","H99","0.649"
"H82","H98","0.6169"
"H82","H97","0.6258"
"H82","H96","0.5529"
"H82","H95","0.5579"
"H82","H94","0.5579"
"H82","H93","0.5674"
"H82","H92","0.5637"
"H82","H91","0.6506"
"H82","H90","0.6581"
"H82","H9","0.6612"
"H82","H89","0.6354"
"H82","H88","0.6149"
"H82","H87","0.5954"
"H82","H86","0.6018"
"H82","H85","0.6464"
"H82","H84","0.621"
"H82","H83","0.6246"
"H82","H82","1"
"H82","H81","0.9995"
"H82","H8","0.6513"
"H82","H79","0.7957"
"H82","H78","0.6952"
"H82","H77","0.5884"
"H82","H76","0.5894"
"H82","H75","0.6169"
"H82","H74","0.9906"
"H82","H73","0.9884"
"H82","H72","0.605"
"H82","H71","0.6084"
"H82","H70","0.6063"
"H82","H7","0.6511"
"H82","H69","0.6085"
"H82","H68","0.6149"
"H82","H67","0.6195"
"H82","H66","0.588"
"H82","H65","0.6485"
"H82","H64","0.5903"
"H82","H63","0.5652"
"H82","H62","0.5359"
"H82","H61","0.5352"
"H82","H60","0.7016"
"H82","H6","0.6439"
"H82","H59","0.56"
"H82","H58","0.6495"
"H82","H57","0.6252"
"H82","H56","0.6478"
"H82","H55","0.6506"
"H82","H54","0.652"
"H82","H53","0.6382"
"H82","H52","0.6258"
"H82","H51","0.6036"
"H82","H50","0.6313"
"H82","H5","0.6446"
"H82","H49","0.6267"
"H82","H48","0.5578"
"H82","H47","0.6349"
"H82","H46","0.6427"
"H82","H45","0.6362"
"H82","H44","0.5948"
"H82","H43","0.6206"
"H82","H42","0.6216"
"H82","H41","0.6596"
"H82","H40","0.6328"
"H82","H4","0.6428"
"H82","H39","0.9886"
"H82","H38","0.6415"
"H82","H37","0.6546"
"H82","H36","0.6985"
"H82","H35","0.7242"
"H82","H34","0.6438"
"H82","H335","0.6189"
"H82","H334","0.5511"
"H82","H333","0.4894"
"H82","H332","0.5278"
"H82","H331","0.568"
"H82","H330","0.5714"
"H82","H33","0.6239"
"H82","H329","0.5352"
"H82","H328","0.5324"
"H82","H327","0.5142"
"H82","H326","0.5169"
"H82","H325","0.5342"
"H82","H324","0.5802"
"H82","H323","0.5901"
"H82","H322","0.4792"
"H82","H321","0.6093"
"H82","H320","0.5273"
"H82","H32","0.6423"
"H82","H319","0.5245"
"H82","H318","0.6126"
"H82","H317","0.6064"
"H82","H316","0.5162"
"H82","H315","0.5294"
"H82","H314","0.6661"
"H82","H313","0.5322"
"H82","H312","0.5328"
"H82","H311","0.6479"
"H82","H310","0.5806"
"H82","H309","0.5797"
"H82","H308","0.58"
"H82","H307","0.5757"
"H82","H306","0.5775"
"H82","H305","0.5789"
"H82","H304","0.5775"
"H82","H303","0.5773"
"H82","H302","0.6105"
"H82","H301","0.6349"
"H82","H300","0.5327"
"H82","H30","0.6177"
"H82","H3","0.6462"
"H82","H298","0.5897"
"H82","H297","0.5704"
"H82","H296","0.6703"
"H82","H294","0.6277"
"H82","H293","0.5324"
"H82","H292","0.5651"
"H82","H291","0.5649"
"H82","H290","0.5647"
"H82","H29","0.6142"
"H82","H289","0.5764"
"H82","H288","0.5612"
"H82","H287","0.5702"
"H82","H286","0.4924"
"H82","H285","0.5313"
"H82","H284","0.6149"
"H82","H283","0.6077"
"H82","H282","0.6002"
"H82","H281","0.6307"
"H82","H280","0.4701"
"H82","H28","0.6179"
"H82","H279","0.622"
"H82","H278","0.5368"
"H82","H277","0.6105"
"H82","H276","0.6175"
"H82","H275","0.5842"
"H82","H274","0.5371"
"H82","H273","0.6177"
"H82","H272","0.6215"
"H82","H271","0.6315"
"H82","H270","0.6369"
"H82","H27","0.617"
"H82","H269","0.6721"
"H82","H268","0.6414"
"H82","H267","0.6302"
"H82","H266","0.6353"
"H82","H265","0.6325"
"H82","H264","0.6317"
"H82","H262","0.6153"
"H82","H26","0.6435"
"H82","H259","0.5895"
"H82","H258","0.6171"
"H82","H257","0.6229"
"H82","H256","0.6201"
"H82","H255","0.615"
"H82","H254","0.6122"
"H82","H253","0.6302"
"H82","H252","0.615"
"H82","H251","0.6186"
"H82","H250","0.6108"
"H82","H25","0.6379"
"H82","H249","0.6263"
"H82","H248","0.6522"
"H82","H247","0.6279"
"H82","H246","0.6342"
"H82","H245","0.6171"
"H82","H244","0.5553"
"H82","H243","0.5711"
"H82","H242","0.6167"
"H82","H241","0.6261"
"H82","H240","0.6254"
"H82","H24","0.6511"
"H82","H239","0.6183"
"H82","H238","0.5342"
"H82","H237","0.5499"
"H82","H236","0.6807"
"H82","H235","0.6245"
"H82","H234","0.5717"
"H82","H233","0.5591"
"H82","H232","0.5581"
"H82","H231","0.5781"
"H82","H230","0.5784"
"H82","H23","0.5941"
"H82","H229","0.5785"
"H82","H228","0.5602"
"H82","H227","0.5161"
"H82","H226","0.5041"
"H82","H225","0.5714"
"H82","H224","0.6935"
"H82","H223","0.7101"
"H82","H222","0.7042"
"H82","H221","0.694"
"H82","H220","0.6399"
"H82","H219","0.5441"
"H82","H218","0.5819"
"H82","H217","0.5562"
"H82","H216","0.5684"
"H82","H215","0.5691"
"H82","H214","0.5574"
"H82","H213","0.5715"
"H82","H212","0.5746"
"H82","H211","0.6505"
"H82","H210","0.549"
"H82","H21","0.5898"
"H82","H209","0.5279"
"H82","H208","0.6391"
"H82","H207","0.5645"
"H82","H206","0.5388"
"H82","H205","0.5651"
"H82","H204","0.5628"
"H82","H203","0.5657"
"H82","H202","0.558"
"H82","H201","0.571"
"H82","H200","0.5526"
"H82","H20","0.6121"
"H82","H2","0.6465"
"H82","H199","0.5748"
"H82","H198","0.5576"
"H82","H197","0.5858"
"H82","H196","0.6283"
"H82","H195","0.5683"
"H82","H194","0.5534"
"H82","H193","0.56"
"H82","H192","0.5467"
"H82","H191","0.5559"
"H82","H190","0.5772"
"H82","H19","0.6092"
"H82","H189","0.6575"
"H82","H188","0.5719"
"H82","H187","0.5728"
"H82","H186","0.5727"
"H82","H185","0.5807"
"H82","H184","0.5964"
"H82","H183","0.5618"
"H82","H182","0.5543"
"H82","H181","0.5923"
"H82","H180","0.5704"
"H82","H18","0.635"
"H82","H179","0.6138"
"H82","H178","0.6619"
"H82","H177","0.569"
"H82","H176","0.5646"
"H82","H175","0.5637"
"H82","H174","0.5489"
"H82","H173","0.5407"
"H82","H172","0.5406"
"H82","H171","0.5253"
"H82","H170","0.5742"
"H82","H17","0.6198"
"H82","H169","0.5999"
"H82","H168","0.5431"
"H82","H167","0.5479"
"H82","H166","0.5576"
"H82","H165","0.5667"
"H82","H164","0.5795"
"H82","H163","0.5473"
"H82","H162","0.5573"
"H82","H161","0.5548"
"H82","H160","0.5786"
"H82","H16","0.6982"
"H82","H159","0.5776"
"H82","H158","0.5792"
"H82","H157","0.6238"
"H82","H156","0.5676"
"H82","H155","0.5983"
"H82","H154","0.5692"
"H82","H153","0.6435"
"H82","H152","0.6461"
"H82","H151","0.652"
"H82","H150","0.6456"
"H82","H15","0.7954"
"H82","H149","0.6482"
"H82","H148","0.6447"
"H82","H147","0.6494"
"H82","H146","0.5168"
"H82","H145","0.6125"
"H82","H144","0.572"
"H82","H143","0.6379"
"H82","H142","0.6485"
"H82","H141","0.6161"
"H82","H140","0.635"
"H82","H139","0.5992"
"H82","H138","0.6257"
"H82","H136","0.6473"
"H82","H135","0.5838"
"H82","H134","0.5807"
"H82","H133","0.5453"
"H82","H132","0.5163"
"H82","H131","0.6316"
"H82","H130","0.6495"
"H82","H13","0.6667"
"H82","H129","0.6599"
"H82","H128","0.6494"
"H82","H127","0.6662"
"H82","H126","0.6315"
"H82","H125","0.5858"
"H82","H124","0.6032"
"H82","H123","0.6094"
"H82","H122","0.6126"
"H82","H121","0.6334"
"H82","H120","0.6509"
"H82","H12","0.6536"
"H82","H119","0.6512"
"H82","H118","0.6506"
"H82","H117","0.6514"
"H82","H116","0.6512"
"H82","H115","0.6509"
"H82","H114","0.6511"
"H82","H113","0.6512"
"H82","H112","0.6511"
"H82","H111","0.6512"
"H82","H110","0.6515"
"H82","H11","0.652"
"H82","H109","0.6515"
"H82","H108","0.6682"
"H82","H107","0.6684"
"H82","H106","0.668"
"H82","H105","0.6748"
"H82","H104","0.6705"
"H82","H103","0.6245"
"H82","H102","0.6693"
"H82","H101","0.6329"
"H82","H100","0.6326"
"H82","H10","0.6514"
"H82","H1","0.6432"
"H81","H368","0.6109"
"H81","H367","0.6733"
"H81","H366","0.4705"
"H81","H365","0.6193"
"H81","H364","0.5683"
"H81","H363","0.6356"
"H81","H362","0.6239"
"H81","H361","0.6245"
"H81","H99","0.6491"
"H81","H98","0.6172"
"H81","H97","0.6258"
"H81","H96","0.5529"
"H81","H95","0.5579"
"H81","H94","0.5579"
"H81","H93","0.5674"
"H81","H92","0.5638"
"H81","H91","0.6507"
"H81","H90","0.6577"
"H81","H9","0.6611"
"H81","H89","0.6355"
"H81","H88","0.615"
"H81","H87","0.5957"
"H81","H86","0.6019"
"H81","H85","0.6464"
"H81","H84","0.6213"
"H81","H83","0.6246"
"H81","H82","0.9995"
"H81","H81","1"
"H81","H8","0.6514"
"H81","H79","0.7956"
"H81","H78","0.695"
"H81","H77","0.5885"
"H81","H76","0.5894"
"H81","H75","0.6172"
"H81","H74","0.9906"
"H81","H73","0.9883"
"H81","H72","0.6051"
"H81","H71","0.6085"
"H81","H70","0.6064"
"H81","H7","0.6512"
"H81","H69","0.6086"
"H81","H68","0.615"
"H81","H67","0.6196"
"H81","H66","0.5873"
"H81","H65","0.6486"
"H81","H64","0.5906"
"H81","H63","0.5652"
"H81","H62","0.5357"
"H81","H61","0.5352"
"H81","H60","0.7017"
"H81","H6","0.644"
"H81","H59","0.5603"
"H81","H58","0.6498"
"H81","H57","0.6255"
"H81","H56","0.6479"
"H81","H55","0.6504"
"H81","H54","0.6518"
"H81","H53","0.6387"
"H81","H52","0.6264"
"H81","H51","0.6039"
"H81","H50","0.6313"
"H81","H5","0.6447"
"H81","H49","0.6273"
"H81","H48","0.5581"
"H81","H47","0.6347"
"H81","H46","0.643"
"H81","H45","0.636"
"H81","H44","0.5951"
"H81","H43","0.6209"
"H81","H42","0.6219"
"H81","H41","0.6599"
"H81","H40","0.6329"
"H81","H4","0.6429"
"H81","H39","0.9886"
"H81","H38","0.6418"
"H81","H37","0.6547"
"H81","H36","0.6979"
"H81","H35","0.7241"
"H81","H34","0.6441"
"H81","H335","0.6194"
"H81","H334","0.5516"
"H81","H333","0.4897"
"H81","H332","0.528"
"H81","H331","0.5682"
"H81","H330","0.5714"
"H81","H33","0.6241"
"H81","H329","0.5352"
"H81","H328","0.533"
"H81","H327","0.5147"
"H81","H326","0.5169"
"H81","H325","0.535"
"H81","H324","0.5803"
"H81","H323","0.5899"
"H81","H322","0.4795"
"H81","H321","0.6096"
"H81","H320","0.5278"
"H81","H32","0.6421"
"H81","H319","0.525"
"H81","H318","0.6127"
"H81","H317","0.6064"
"H81","H316","0.5165"
"H81","H315","0.53"
"H81","H314","0.6659"
"H81","H313","0.5327"
"H81","H312","0.5333"
"H81","H311","0.6477"
"H81","H310","0.5807"
"H81","H309","0.5797"
"H81","H308","0.58"
"H81","H307","0.5757"
"H81","H306","0.5775"
"H81","H305","0.5789"
"H81","H304","0.5776"
"H81","H303","0.5773"
"H81","H302","0.611"
"H81","H301","0.6342"
"H81","H300","0.5329"
"H81","H30","0.6175"
"H81","H3","0.6463"
"H81","H298","0.5895"
"H81","H297","0.5707"
"H81","H296","0.6701"
"H81","H294","0.6275"
"H81","H293","0.5329"
"H81","H292","0.5652"
"H81","H291","0.5651"
"H81","H290","0.5649"
"H81","H29","0.614"
"H81","H289","0.5767"
"H81","H288","0.5615"
"H81","H287","0.5705"
"H81","H286","0.4924"
"H81","H285","0.5318"
"H81","H284","0.6153"
"H81","H283","0.6075"
"H81","H282","0.6003"
"H81","H281","0.631"
"H81","H280","0.4704"
"H81","H28","0.6177"
"H81","H279","0.622"
"H81","H278","0.5373"
"H81","H277","0.6103"
"H81","H276","0.6173"
"H81","H275","0.5849"
"H81","H274","0.5378"
"H81","H273","0.6174"
"H81","H272","0.6216"
"H81","H271","0.6318"
"H81","H270","0.6374"
"H81","H27","0.6168"
"H81","H269","0.6722"
"H81","H268","0.6416"
"H81","H267","0.6304"
"H81","H266","0.6351"
"H81","H265","0.6331"
"H81","H264","0.6322"
"H81","H262","0.6161"
"H81","H26","0.6433"
"H81","H259","0.5898"
"H81","H258","0.6169"
"H81","H257","0.6232"
"H81","H256","0.6202"
"H81","H255","0.6148"
"H81","H254","0.6128"
"H81","H253","0.6303"
"H81","H252","0.6151"
"H81","H251","0.6184"
"H81","H250","0.6106"
"H81","H25","0.6382"
"H81","H249","0.6266"
"H81","H248","0.6523"
"H81","H247","0.6282"
"H81","H246","0.6343"
"H81","H245","0.6176"
"H81","H244","0.5558"
"H81","H243","0.5719"
"H81","H242","0.6172"
"H81","H241","0.6259"
"H81","H240","0.6252"
"H81","H24","0.6511"
"H81","H239","0.6188"
"H81","H238","0.5347"
"H81","H237","0.5502"
"H81","H236","0.6805"
"H81","H235","0.6245"
"H81","H234","0.5719"
"H81","H233","0.5597"
"H81","H232","0.5587"
"H81","H231","0.5782"
"H81","H230","0.5784"
"H81","H23","0.5941"
"H81","H229","0.5786"
"H81","H228","0.5601"
"H81","H227","0.5164"
"H81","H226","0.5041"
"H81","H225","0.5715"
"H81","H224","0.6935"
"H81","H223","0.71"
"H81","H222","0.7041"
"H81","H221","0.6938"
"H81","H220","0.6402"
"H81","H219","0.5442"
"H81","H218","0.5822"
"H81","H217","0.5562"
"H81","H216","0.5687"
"H81","H215","0.5691"
"H81","H214","0.5576"
"H81","H213","0.5717"
"H81","H212","0.5749"
"H81","H211","0.6509"
"H81","H210","0.5495"
"H81","H21","0.5898"
"H81","H209","0.5283"
"H81","H208","0.6394"
"H81","H207","0.5645"
"H81","H206","0.5386"
"H81","H205","0.5658"
"H81","H204","0.5635"
"H81","H203","0.5663"
"H81","H202","0.5585"
"H81","H201","0.5716"
"H81","H200","0.5528"
"H81","H20","0.6122"
"H81","H2","0.6465"
"H81","H199","0.575"
"H81","H198","0.5573"
"H81","H197","0.5857"
"H81","H196","0.6276"
"H81","H195","0.5685"
"H81","H194","0.5536"
"H81","H193","0.5603"
"H81","H192","0.547"
"H81","H191","0.5559"
"H81","H190","0.5772"
"H81","H19","0.6095"
"H81","H189","0.6576"
"H81","H188","0.5722"
"H81","H187","0.5728"
"H81","H186","0.5727"
"H81","H185","0.5807"
"H81","H184","0.5967"
"H81","H183","0.5625"
"H81","H182","0.5548"
"H81","H181","0.5929"
"H81","H180","0.5709"
"H81","H18","0.6353"
"H81","H179","0.6136"
"H81","H178","0.6617"
"H81","H177","0.569"
"H81","H176","0.5651"
"H81","H175","0.564"
"H81","H174","0.5489"
"H81","H173","0.5409"
"H81","H172","0.5404"
"H81","H171","0.5257"
"H81","H170","0.5744"
"H81","H17","0.6199"
"H81","H169","0.6"
"H81","H168","0.5436"
"H81","H167","0.5484"
"H81","H166","0.5573"
"H81","H165","0.5667"
"H81","H164","0.5795"
"H81","H163","0.5481"
"H81","H162","0.5581"
"H81","H161","0.5555"
"H81","H160","0.5787"
"H81","H16","0.6981"
"H81","H159","0.5776"
"H81","H158","0.5793"
"H81","H157","0.6234"
"H81","H156","0.5676"
"H81","H155","0.5983"
"H81","H154","0.5694"
"H81","H153","0.6433"
"H81","H152","0.6459"
"H81","H151","0.6518"
"H81","H150","0.6454"
"H81","H15","0.7953"
"H81","H149","0.6481"
"H81","H148","0.6446"
"H81","H147","0.6492"
"H81","H146","0.5165"
"H81","H145","0.6123"
"H81","H144","0.5725"
"H81","H143","0.6375"
"H81","H142","0.6483"
"H81","H141","0.616"
"H81","H140","0.6358"
"H81","H139","0.5998"
"H81","H138","0.6259"
"H81","H136","0.6478"
"H81","H135","0.5838"
"H81","H134","0.581"
"H81","H133","0.5457"
"H81","H132","0.5165"
"H81","H131","0.6314"
"H81","H130","0.6497"
"H81","H13","0.6668"
"H81","H129","0.6597"
"H81","H128","0.6493"
"H81","H127","0.6657"
"H81","H126","0.6316"
"H81","H125","0.5859"
"H81","H124","0.6033"
"H81","H123","0.6095"
"H81","H122","0.6132"
"H81","H121","0.6334"
"H81","H120","0.651"
"H81","H12","0.6537"
"H81","H119","0.6512"
"H81","H118","0.6507"
"H81","H117","0.6515"
"H81","H116","0.6513"
"H81","H115","0.651"
"H81","H114","0.6512"
"H81","H113","0.6512"
"H81","H112","0.6512"
"H81","H111","0.6512"
"H81","H110","0.6516"
"H81","H11","0.6518"
"H81","H109","0.6516"
"H81","H108","0.6681"
"H81","H107","0.6682"
"H81","H106","0.6678"
"H81","H105","0.6747"
"H81","H104","0.6704"
"H81","H103","0.6246"
"H81","H102","0.6694"
"H81","H101","0.633"
"H81","H100","0.6324"
"H81","H10","0.6517"
"H81","H1","0.6432"
"H8","H368","0.6567"
"H8","H367","0.7391"
"H8","H366","0.4505"
"H8","H365","0.6755"
"H8","H364","0.5558"
"H8","H363","0.6064"
"H8","H362","0.6896"
"H8","H361","0.6898"
"H8","H99","0.6649"
"H8","H98","0.6124"
"H8","H97","0.6169"
"H8","H96","0.6735"
"H8","H95","0.6715"
"H8","H94","0.6692"
"H8","H93","0.694"
"H8","H92","0.6909"
"H8","H91","0.7198"
"H8","H90","0.6564"
"H8","H9","0.8157"
"H8","H89","0.6265"
"H8","H88","0.6421"
"H8","H87","0.6719"
"H8","H86","0.6629"
"H8","H85","0.6632"
"H8","H84","0.6483"
"H8","H83","0.682"
"H8","H82","0.6513"
"H8","H81","0.6514"
"H8","H8","1"
"H8","H79","0.6781"
"H8","H78","0.8045"
"H8","H77","0.6805"
"H8","H76","0.6755"
"H8","H75","0.5899"
"H8","H74","0.6518"
"H8","H73","0.6493"
"H8","H72","0.67"
"H8","H71","0.6783"
"H8","H70","0.675"
"H8","H7","0.9998"
"H8","H69","0.6822"
"H8","H68","0.6952"
"H8","H67","0.6944"
"H8","H66","0.5933"
"H8","H65","0.6159"
"H8","H64","0.5993"
"H8","H63","0.5892"
"H8","H62","0.5716"
"H8","H61","0.5723"
"H8","H60","0.6767"
"H8","H6","0.9017"
"H8","H59","0.7523"
"H8","H58","0.7693"
"H8","H57","0.8097"
"H8","H56","0.9837"
"H8","H55","0.9575"
"H8","H54","0.9493"
"H8","H53","0.6959"
"H8","H52","0.6043"
"H8","H51","0.5944"
"H8","H50","0.6373"
"H8","H5","0.9051"
"H8","H49","0.604"
"H8","H48","0.6275"
"H8","H47","0.5971"
"H8","H46","0.6812"
"H8","H45","0.651"
"H8","H44","0.6693"
"H8","H43","0.7103"
"H8","H42","0.5806"
"H8","H41","0.7486"
"H8","H40","0.6655"
"H8","H4","0.9053"
"H8","H39","0.6498"
"H8","H38","0.6491"
"H8","H37","0.9837"
"H8","H36","0.6467"
"H8","H35","0.6258"
"H8","H34","0.6938"
"H8","H335","0.6192"
"H8","H334","0.5518"
"H8","H333","0.4827"
"H8","H332","0.5188"
"H8","H331","0.5582"
"H8","H330","0.5551"
"H8","H33","0.6149"
"H8","H329","0.5198"
"H8","H328","0.5335"
"H8","H327","0.5206"
"H8","H326","0.5243"
"H8","H325","0.5186"
"H8","H324","0.554"
"H8","H323","0.5769"
"H8","H322","0.4941"
"H8","H321","0.6262"
"H8","H320","0.5309"
"H8","H32","0.6423"
"H8","H319","0.5215"
"H8","H318","0.6008"
"H8","H317","0.5958"
"H8","H316","0.5226"
"H8","H315","0.5243"
"H8","H314","0.7268"
"H8","H313","0.5188"
"H8","H312","0.5187"
"H8","H311","0.6602"
"H8","H310","0.5516"
"H8","H309","0.5524"
"H8","H308","0.5495"
"H8","H307","0.5504"
"H8","H306","0.5499"
"H8","H305","0.5506"
"H8","H304","0.55"
"H8","H303","0.5508"
"H8","H302","0.6143"
"H8","H301","0.6361"
"H8","H300","0.5415"
"H8","H30","0.6598"
"H8","H3","0.8986"
"H8","H298","0.5698"
"H8","H297","0.5644"
"H8","H296","0.6532"
"H8","H294","0.6243"
"H8","H293","0.5195"
"H8","H292","0.5651"
"H8","H291","0.5647"
"H8","H290","0.5655"
"H8","H29","0.663"
"H8","H289","0.5728"
"H8","H288","0.548"
"H8","H287","0.5632"
"H8","H286","0.4882"
"H8","H285","0.5152"
"H8","H284","0.6054"
"H8","H283","0.65"
"H8","H282","0.6777"
"H8","H281","0.6038"
"H8","H280","0.4792"
"H8","H28","0.6641"
"H8","H279","0.7006"
"H8","H278","0.5365"
"H8","H277","0.684"
"H8","H276","0.6895"
"H8","H275","0.5568"
"H8","H274","0.5254"
"H8","H273","0.614"
"H8","H272","0.6179"
"H8","H271","0.6142"
"H8","H270","0.6175"
"H8","H27","0.6593"
"H8","H269","0.679"
"H8","H268","0.64"
"H8","H267","0.6125"
"H8","H266","0.6117"
"H8","H265","0.6098"
"H8","H264","0.6141"
"H8","H262","0.6047"
"H8","H26","0.7332"
"H8","H259","0.5993"
"H8","H258","0.6102"
"H8","H257","0.6111"
"H8","H256","0.6219"
"H8","H255","0.62"
"H8","H254","0.6173"
"H8","H253","0.6246"
"H8","H252","0.6267"
"H8","H251","0.6283"
"H8","H250","0.5993"
"H8","H25","0.6206"
"H8","H249","0.6038"
"H8","H248","0.6316"
"H8","H247","0.6086"
"H8","H246","0.669"
"H8","H245","0.6186"
"H8","H244","0.5503"
"H8","H243","0.5614"
"H8","H242","0.6212"
"H8","H241","0.6889"
"H8","H240","0.6882"
"H8","H24","0.6072"
"H8","H239","0.6221"
"H8","H238","0.5148"
"H8","H237","0.5449"
"H8","H236","0.6381"
"H8","H235","0.6822"
"H8","H234","0.6034"
"H8","H233","0.5994"
"H8","H232","0.5976"
"H8","H231","0.5514"
"H8","H230","0.5509"
"H8","H23","0.6856"
"H8","H229","0.5503"
"H8","H228","0.5619"
"H8","H227","0.524"
"H8","H226","0.4959"
"H8","H225","0.6052"
"H8","H224","0.6311"
"H8","H223","0.6906"
"H8","H222","0.6896"
"H8","H221","0.6796"
"H8","H220","0.7847"
"H8","H219","0.5399"
"H8","H218","0.5709"
"H8","H217","0.5369"
"H8","H216","0.5429"
"H8","H215","0.5556"
"H8","H214","0.5459"
"H8","H213","0.5496"
"H8","H212","0.5534"
"H8","H211","0.6247"
"H8","H210","0.587"
"H8","H21","0.8596"
"H8","H209","0.5665"
"H8","H208","0.6776"
"H8","H207","0.5624"
"H8","H206","0.5312"
"H8","H205","0.5543"
"H8","H204","0.5617"
"H8","H203","0.6005"
"H8","H202","0.5945"
"H8","H201","0.6028"
"H8","H200","0.5414"
"H8","H20","0.8919"
"H8","H2","0.9075"
"H8","H199","0.5447"
"H8","H198","0.5449"
"H8","H197","0.5878"
"H8","H196","0.6217"
"H8","H195","0.5542"
"H8","H194","0.5377"
"H8","H193","0.5462"
"H8","H192","0.5307"
"H8","H191","0.5499"
"H8","H190","0.5667"
"H8","H19","0.8924"
"H8","H189","0.6124"
"H8","H188","0.616"
"H8","H187","0.6501"
"H8","H186","0.6265"
"H8","H185","0.5969"
"H8","H184","0.5694"
"H8","H183","0.553"
"H8","H182","0.553"
"H8","H181","0.5695"
"H8","H180","0.6409"
"H8","H18","0.7463"
"H8","H179","0.6109"
"H8","H178","0.6189"
"H8","H177","0.5466"
"H8","H176","0.5465"
"H8","H175","0.549"
"H8","H174","0.5926"
"H8","H173","0.5354"
"H8","H172","0.5294"
"H8","H171","0.5598"
"H8","H170","0.5486"
"H8","H17","0.66"
"H8","H169","0.5881"
"H8","H168","0.577"
"H8","H167","0.5761"
"H8","H166","0.5382"
"H8","H165","0.551"
"H8","H164","0.5494"
"H8","H163","0.5302"
"H8","H162","0.5433"
"H8","H161","0.545"
"H8","H160","0.5511"
"H8","H16","0.8079"
"H8","H159","0.5495"
"H8","H158","0.5522"
"H8","H157","0.6194"
"H8","H156","0.5698"
"H8","H155","0.5946"
